Estratégia,Quantidade,Tempo,Comparações
Insere,1000,0.000061,2189
Rebaixa,1000,0.000040,3747
Insere,10000,0.000620,22791
Rebaixa,10000,0.000386,37125
Insere,100000,0.006260,227750
Rebaixa,100000,0.003824,373062
Insere,1000000,0.032702,2279393
Rebaixa,1000000,0.020529,3730719
Insere,10000000,0.330421,22813420
Rebaixa,10000000,0.221910,37319049
Insere,100000000,3.317844,228159274
Rebaixa,100000000,2.222667,373211754
Insere,1000000000,33.293436,2281476087
Rebaixa,1000000000,22.316312,3732125238
