Estratégia,Quantidade,Tempo,Comparações
Insere,1000,0.000017,1000
Rebaixa,1000,0.000035,1492
Insere,10000,0.000136,10000
Rebaixa,10000,0.000351,14992
Insere,100000,0.001371,100000
Rebaixa,100000,0.003374,149990
Insere,1000000,0.008196,1000000
Rebaixa,1000000,0.017877,1499988
Insere,10000000,0.072278,10000000
Rebaixa,10000000,0.193300,14999986
Insere,100000000,0.744433,100000000
Rebaixa,100000000,1.969477,149999981
Insere,1000000000,7.541908,1000000000
Rebaixa,1000000000,19.814429,1499999979
