Estratégia,Quantidade,Tempo,Comparações
Insere,1000,0.000014,1000
Rebaixa,1000,0.000040,3717
Insere,10000,0.000086,10000
Rebaixa,10000,0.000390,37320
Insere,100000,0.000857,100000
Rebaixa,100000,0.003876,372672
Insere,1000000,0.004487,1000000
Rebaixa,1000000,0.020294,3731973
Insere,10000000,0.045339,10000000
Rebaixa,10000000,0.217179,37328604
Insere,100000000,0.616723,100000000
Rebaixa,100000000,2.204613,373210338
Insere,1000000000,5.217224,1000000000
Rebaixa,1000000000,22.437265,3732094683
